"cry";"volume";"gelo";"percgel";"percin";"percat";"difpercatin";"preop";"prein";"preat";"presup";"difsupperc";"preres";"difresperc";"qualymes";"rmaxtu";"acumperc";"maxperc";"minperc";"aumeperc";"final"
"POND";6.686;0.04325;-1.18;-4.631;-4.38;-5.42;0.0447;0.04263;0.04274;0.04175;2.32;0.04347;-1.71;333;0.17;0.258;0.258;-0.117;0;-0.211
"PORTO";4.025;3.0705;-1.88;-3.482;-3.49;0.23;3.1217;3.013;3.0127;2.9809;1.06;3.1186;-3.52;3;0.25;-0.01;0;-0.076;0;-0.763
"POWR";2.165;0.5461;-0.77;-0.786;-0.93;18.32;0.547;0.5427;0.5419;0.364;32.83;0.9617;-77.47;3;0.25;-0.147;0.276;-0.184;-0.166;0.147
"PSG";1.236;14.19;-0.85;-1.399;-1.61;15.08;14.3;14.1;14.07;7.688;45.36;14.15;-0.57;63;0.6;-0.213;0;-0.213;0;-0.426
"PUNDIX";0.758;0.774;0.9;0.515;0.64;24.27;0.776;0.78;0.781;0.778;0.38;0.783;-0.26;333;0.09;0.128;0.256;-0.128;0;-0.128
"PYR";23.525;13.17;-8.05;-8.663;-7.98;-7.88;13.16;12.02;12.11;6.68;44.84;12.26;-1.24;3;0.25;0.749;0.749;-0.166;0.331;-2.246
"QI";18.02;0.0609;-0.82;2.381;2.72;14.24;0.0588;0.0602;0.0604;0.0427;29.3;0.3823;-532.95;3;0.25;0.332;0.332;-0.664;0;-0.997
"QNT";21.89;103.5;11.11;14.244;12.97;-8.94;101.8;116.3;115;87.6;23.83;118;-2.61;33;0.38;-1.118;0;-1.204;0;-2.064
"QTUM";33.578;6.326;-4.02;-3.076;-2.71;-11.9;6.241;6.049;6.072;6.011;1;19.3;-217.85;63;0.81;0.38;0.38;-0.017;0.082;-0.827
"QUICK";2.948;200.7;-9.02;-6.4;-6.5;1.56;195.3;182.8;182.6;181.1;0.82;184.9;-1.26;33;0.14;-0.109;0;-0.219;0;-2.298
"RAD";1.473;5.533;-4.74;-5.543;-5.76;3.91;5.593;5.283;5.271;5.234;0.7;11.689;-121.76;33;0.2;-0.227;0;-0.227;0;-0.606
"RAMP";3.077;0.1102;-3.72;-2.836;-2.93;3.31;0.1093;0.1062;0.1061;0.1059;0.19;0.1067;-0.57;333;0.08;-0.094;0;-0.094;0;-1.412
